14882	1
899	1
881	1
698	1
636	1
1083	1
579	1
483	1
614	1
966	1
1105	1
993	1
5366	1
930	1
669	1
1073	1
608	1
557	1
639	1
715	1
621	1
1107	1
317	1
569	1
488	1
602	1
848	1
729	1
1017	1
982	1
482	1
1085	1
781	2
942	1
1045	1
814	1
595	1
313	1
854	1
857	2
548	1
977	1
1652	1
543	3
940	1
542	2
471	1
991	1
890	1
1077	1
1576	1
964	1
813	1
797	1
423	1
898	1
445	1
458	1
316	1
914	1
1035	1
828	1
680	1
444	1
375	2
737	1
390	4
494	4
654	1
628	1
381	1
517	1
714	2
605	2
583	1
1059	1
623	1
551	1
477	2
985	1
763	1
326	2
657	1
464	2
430	1
865	1
224	3
272	3
656	1
395	3
584	1
535	2
279	6
758	1
424	4
754	1
688	1
454	3
559	1
437	1
780	1
1029	1
435	1
571	1
613	1
694	2
219	5
924	1
748	2
478	4
823	1
767	1
641	2
489	2
190	2
682	1
889	1
524	3
778	2
289	6
887	1
884	1
553	1
1060	1
149	2
1086	1
732	1
642	2
310	4
315	2
601	1
915	1
578	2
470	4
1965	1
645	1
514	1
528	1
177	2
807	1
1916	1
888	1
57	6
885	1
806	1
1973	1
1056	1
970	1
709	1
193	5
1012	1
994	1
496	4
700	1
643	1
725	1
1834	1
765	3
469	2
505	2
988	1
475	3
1691	1
582	3
349	5
950	1
687	4
432	3
3562	1
235	2
1040	1
8794	1
1096	1
343	3
507	1
1616	1
789	2
398	1
1836	1
727	1
215	1
1324	1
704	1
1027	1
2607	1
389	1
975	1
486	1
441	3
818	1
396	3
258	2
2000	1
237	1
597	1
330	1
825	1
1934	1
442	2
1037	1
931	1
447	4
647	1
958	1
849	2
1046	1
438	1
837	2
1003	1
376	3
539	3
1535	1
426	3
431	5
772	1
923	1
443	3
266	1
344	5
672	2
321	3
1101	1
1397	1
288	3
1377	1
268	3
194	6
230	6
2022	1
1856	1
1023	1
1019	1
498	2
329	4
897	1
525	2
520	2
1629	1
771	4
1186	1
77	7
290	1
858	1
735	1
337	4
254	4
436	1
5024	1
588	2
787	4
734	1
361	2
699	3
1879	1
947	2
695	1
592	2
392	3
448	3
777	3
513	3
716	1
253	7
257	5
537	1
1237	1
128	2
617	1
736	1
2954	1
1684	1
575	1
893	2
216	4
481	3
843	2
574	2
